M,N,Initial,Final,Diff,RI
7,5,0.07614711594672366,0.4361766857051888,-0.3600295697584651,-472.8078867889886
7,5,0.08414867568623657,0.40242987844983297,-0.3182812027635964,-378.23673417079664
7,5,0.2258693168000975,0.5026199214680193,-0.2767506046679218,-122.52687022241983
7,5,0.06621133750203015,0.4443692439904159,-0.37815790648838576,-571.1376944723263
7,5,0.11946427457198863,0.5033075412207395,-0.3838432666487509,-321.303810719956
7,5,0.2129181668648376,0.45033935317969204,-0.23742118631485443,-111.50818636606597
7,5,0.1253723167010808,0.2112689916817311,-0.08589667498065032,-68.51327090449293
7,5,0.07362235499217523,0.4259859941261961,-0.35236363913402086,-478.60957337139104
7,5,0.0816824492953703,0.5258079797630129,-0.4441255304676426,-543.7221022372248
7,5,0.047735660951142976,0.48448553119797305,-0.4367498702468301,-914.9341635676517
