M,N,Initial,Final,Diff,RI
7,5,0.24956700115478653,0.15654306880165716,0.09302393235312936,37.274131564947574
7,5,0.24473848210997837,0.17835886007639565,0.06637962203358272,27.122674563190944
7,5,0.2908578932224914,0.1973308397990282,0.09352705342346318,32.155583741342646
7,5,0.30990883460646834,0.250884682806441,0.05902415180002735,19.045649948952896
7,5,0.20803083310514656,0.09557262374237721,0.11245820936276935,54.05843339863412
7,5,0.17239510147219286,0.1594612013537815,0.012933900118411362,7.502475423002425
7,5,0.29958344381361035,0.211106627410927,0.08847681640268334,29.533279702108743
7,5,0.156299073494081,0.12221962798822317,0.03407944550585784,21.803997134473367
7,5,0.3344524089401726,0.10230198026583262,0.23215042867433996,69.41209645043024
7,5,0.30443763896088577,0.24925388992152736,0.05518374903935841,18.126454149267804
