M,N,Initial,Final,Diff,RI
7,5,0.5140443594094473,0.46918447468630914,0.04485988472313812,8.726850883973277
7,5,0.4858676581938218,0.4505792251643007,0.035288433029521116,7.2629722177235125
7,5,0.33774233005912524,0.306812275322458,0.030930054736667267,9.157885163891848
7,5,0.47842209891655835,0.3444793804341191,0.13394271848243927,27.99676661796516
7,5,0.5038404193441304,0.4565474976087671,0.04729292173536326,9.386488245013448
7,5,0.4802516537902609,0.4445725846082837,0.03567906918197722,7.4292444180857
7,5,0.5333625045350471,0.4898204883793149,0.043542016155732166,8.163681508449764
7,5,0.33405841352800325,0.29139259627869196,0.04266581724931129,12.771963082359164
7,5,0.3551769363177858,0.294719476294954,0.06045746002283181,17.02178656351126
7,5,0.3039905928394602,0.2690655696748864,0.034925023164573854,11.48884997997883
7,5,0.3675359866454262,0.3549081372270237,0.012627849418402504,3.4358130570177328
7,5,0.5507503168368676,0.5272903860342738,0.023459930802593787,4.259630922653218
7,5,0.36580070348921323,0.3496250818039396,0.016175621685273645,4.421976647661268
7,5,0.3276129430075353,0.3010099312701812,0.026603011737354076,8.120256633677075
7,5,0.5414316739990916,0.4512562309688453,0.09017544303024633,16.654999579946555
7,5,0.4257508983867036,0.4044408651232502,0.021310033263453376,5.005282042669413
7,5,0.4057770887236524,0.3587118039488023,0.047065284774850114,11.598802909964965
7,5,0.5384184319626981,0.408455333229373,0.12996309873332512,24.13793641119794
7,5,0.4100188471394815,0.35399089567429765,0.056027951465183856,13.664725867131686
7,5,0.3995374007035261,0.3697469740833679,0.02979042662015824,7.45622977165635
7,5,0.38905068144667493,0.36625161898627184,0.022799062460403086,5.86017800447627
7,5,0.35262783774493733,0.32069659272592266,0.031931245019014676,9.055225254822671
7,5,0.5096738115134767,0.4427371444401449,0.06693666707333179,13.133236505631576
7,5,0.520812722373896,0.46202663714293474,0.05878608523096124,11.28737504011244
7,5,0.47058785093425226,0.3503732473689049,0.12021460356534736,25.545624122400692
7,5,0.4759059468986449,0.40656671839469866,0.06933922850394625,14.569943694927945
7,5,0.44458908541217523,0.3833394350316275,0.06124965038054775,13.77668782034171
7,5,0.43022860587399875,0.39297285481214544,0.037255751061853304,8.659524390798973
7,5,0.38780823349716215,0.33559628304004663,0.05221195045711552,13.463342432490563
7,5,0.40159147035836334,0.3213157155480566,0.08027575481030674,19.98940732946146
7,5,0.46535498029336275,0.4301763755363651,0.03517860475699763,7.5595204191907035
7,5,0.3321937590158151,0.2806081950443578,0.051585563971457304,15.528757711851359
7,5,0.3860320056905379,0.33971710740698574,0.046314898283552175,11.997683508315228
7,5,0.3351067783949718,0.3044196589221653,0.0306871194728065,9.157415322896659
7,5,0.5330233378519409,0.4688822051017285,0.06414113275021238,12.033456735440168
7,5,0.35824573926073816,0.3459304908918808,0.012315248368857334,3.437653827864247
7,5,0.5911623481355928,0.5467080385842658,0.04445430955132701,7.5198140902455926
7,5,0.33454049048966705,0.2703099497582547,0.06423054073141238,19.199631302446562
7,5,0.49279539268045996,0.47118616865278,0.021609224027679952,4.38502963880019
7,5,0.484197572806222,0.4359777137105555,0.048219859095666506,9.958715574760701
7,5,0.5840462163447585,0.4732173609019818,0.11082885544277671,18.97604202222161
7,5,0.32151858183734877,0.29762727909581943,0.02389130274152934,7.430768885891508
7,5,0.3817332056901579,0.3668782184262553,0.014854987263902608,3.891457971817098
7,5,0.4332919302016162,0.39935537868182347,0.033936551519792746,7.8322602278795355
7,5,0.5211873960639093,0.4797723633118354,0.041415032752073866,7.94628440074469
7,5,0.42261260228615305,0.3533236566067978,0.06928894567935523,16.395380853417937
7,5,0.4299276623649866,0.3995463094833356,0.030381352881651003,7.066619699352769
7,5,0.26431893557295866,0.2487097789499249,0.015609156623033749,5.905425046146658
7,5,0.2438611143432168,0.23101697945720598,0.012844134886010827,5.266987695272171
7,5,0.5888066362876605,0.5449551405583609,0.04385149572929958,7.447520633560931
7,5,0.3757740649860508,0.3097557119223005,0.06601835306375031,17.568629454563606
7,5,0.3178775833177507,0.22623209546733802,0.09164548785041265,28.830434311816116
7,5,0.4459901481156353,0.40981579310090194,0.03617435501473337,8.111021099361631
7,5,0.3471032487859022,0.31012114986989725,0.03698209891600496,10.654495181292871
7,5,0.5097546716719675,0.40391837461094704,0.10583629706102049,20.762202475532632
7,5,0.4347066926409553,0.35993331535653755,0.07477337728441774,17.200880168223357
7,5,0.3798775717140116,0.3466481877283046,0.03322938398570702,8.747392965521941
7,5,0.5312633584149604,0.44215603502713086,0.08910732338782956,16.772721471641454
7,5,0.5407363605104745,0.4832393758508056,0.05749698465966885,10.633090144962628
7,5,0.38278780615188124,0.337782454836581,0.04500535131530026,11.757258353585899
7,5,0.5550695041177452,0.5070223975006549,0.04804710661709033,8.656052307081572
7,5,0.4542096739044863,0.41813460228572485,0.036075071618761445,7.942382932677807
7,5,0.4329017859175581,0.4161879499289061,0.016713835988652004,3.8608840463030543
7,5,0.35085496109538333,0.30976915243633063,0.0410858086590527,11.710197436222977
7,5,0.40692799165248883,0.3843418883945413,0.02258610325794752,5.550393121453232
7,5,0.375822300797129,0.375248341501347,0.0005739592957820228,0.15272092543860222
7,5,0.49778562269038285,0.37693825847646234,0.1208473642139205,24.276989672939237
7,5,0.4127916280988252,0.3835958202481817,0.029195807850643518,7.072771312031997
7,5,0.5379156183464492,0.5084842595676852,0.029431358778764016,5.471370931603718
7,5,0.5205223768453274,0.4284625404791353,0.09205983636619214,17.68604779762381
